DAGBANI	ENGLISH
Karimbaannim’ kul ŋmarila ʒiri pari ma .	Arrogant people have made up lies about me.
Doo yi yɛn zaŋ binshɛli paŋ o kpee, ŋun di deeg’ o nɛli bee o nɛkaŋ’ sɔŋ pɔi ka naanyi paŋ o li, dama o yi niŋ lala, nyɛvili ka o deei sɔŋ talima pabu ni maa.	If a man is going to lend his neighbour something, he should not take his upper or lower grindstone and deposit it before he makes the loan, because if he does this it is a life that he receives and deposits as a pledge-giving.
dama ʒiri ka a ŋma m-pa Ishimail maa.	because it is a lie that you are telling about Ishmael.
piimi dapaɣili sabi, ‘Juda dini ni Izraɛlnim’ dini’ m-pa di zuɣu.	choose a piece of wood and write Judah's and the Israelites' on it.
Niriba ayi noya yi bi pa taba, bɛ ni tooi laɣim doli?	Do two walk together unless they have agreed to do so?
zaŋ o nyɛvili m-pa talima.	give his life as a ransom.
bikpɛm’ sani ti kpuɣi paɣa, ka bi zaŋ o dɔɣi bihi ka kpi, ka ŋun pa o zuɣu kpuɣ’ o pakoli maa.	The eldest got married and died without having children, so he left his widow to his brother' next in order.
Zawurugu zuɣu ka mani zaŋ m bɔɣu pari buŋgu.	It is because of the husks of millet that I plant sesame in succession on my yam farm.
Bɛn daa chani daa, ŋun n daa pa o ma zuɣu.	When they were going to market he was next to his mother.
Ka tɔbbihi bɛn gbibi bidibbina daa be tooni, ka maligumaaniba ayopɔin bɛn gbibi piɛla’ yila kikah’ ayopɔin m-pe tababiri pa bɛ zuɣu; ka maligumaaniba bɛn ʒiri Yawɛ Daalikauli Adaka la paya, ka tɔbbi’ shɛb’ bɛn lan gbibi bidibbina doli bɛ nyaaŋa.	first, the advance guard; next, the seven priests blowing the seven trumpets; then, the priests carrying the Lord's Covenant Box; and finally, the rearguard.
Paul daa yaa chaŋ bɛ jɛmbu duu maa ni Vuhim Dabisa buta pa taba.	Paul as usual went to their synagogue on three successive Sabbaths.
Saimɔn, Yisa ni daa pa so yupaa Peter la.	Simon, the one Jesus gave the nickname of Peter.
Tiŋ' maa yupaa n-nyɛ Sɔdom bee Ijipti.	The symbolic name of that city is Sodom, or Egypt.
nir’ yi di wahala la o ni nyɛ Kristiɛn zuɣu, ŋun’ paɣimila Naawuni bɛ ni zaŋ Masia yuli pa o yupaa la zuɣu.	if someone suffers because he is a Christian, he should praise God that they have given him the name of Christ as a nickname.
M pala anabi, m mi pala anabi bia.	I am not a prophet or the son of a prophet.
Ka o zaligunim’ maa mi pala yɛlimuɣisira.	And as for His commandments, they are not difficult.
'Bɛ booni a' pa la 'bɛ yur' a mi'.	"Being summoned or invited is not an indication of love for you."
Bɛ booni a' pa la bɛ yuri a mi.	They are calling you doesn't mean they love you.
Tim’ ma yaa yaha, di yi pa lala n ni kpi.	Give me strength again, otherwise I will die.
shee bɛ ku Paul ni di yi pa lala bɛ ku di bee n-nyu.	they would certainly kill Paul, otherwise they would not eat or drink.
shee yi niŋ tuuba, di yi pa lala yi zaa gba ni ti bahi yoli.	you must repent, otherwise you also will come to a bad end.
Di yi pa ni n yɛlila daliri din tahi ma na, n ku di bindirigu maa.	Until I tell you what brings me here, I will not eat the food.
pa bɛn zaa yi Izraɛl zuliya ni na n-nyɛ Izraɛl yaan’ maŋa.	it is not all those who come from the tribe of Israel who are Israel's true descendants.
A ni lo ni a me jɛmbu duu maa, di viɛla. Amaa di zaa yoli, pa nyini n-yɛn me n jɛmbu duu maa.	As you have planned to build a temple, that is good. But in spite of that, it is not you who will build my temple.
Ka pa dimbɔŋɔ kɔŋko.	And not only this.
Pa ni a zuɣu be bi nan ku che o.	Had it not been for you he would have been set free.
A daa kani zuɣu ka ninkurugu ŋmari ʒiri bihi sani pa ni a daa beni.	Because you were not there an old man can tell lies to the children but not if you were there.
so ku tooi kpuɣ’ o nuu zuɣusaa bee n-vuugi o napɔŋ ka pa ni nyini m-bah’ o noli.	no one will be able to lift up his hand or move his foot unless you give him permission.
pipia ŋɔ yi ku miligi n zuɣu ka pa ni n nyu li mi, nyin’ chɛ ka a yubu n-niŋ.	if this cup won't pass on from me unless I drink it, let your will be done.
Bɛ wuhirila zom’ binshɛɣukam pa ni wari.	They teach the blind person everything, but not about the cold.
bia maa bɛ yɛn di shɛlikam ka pani chira-ayɔbu nyaaŋa.	the child won't eat anything before the sixth month.
Ti ni tooi tibi dɔro ŋɔ ka pani ashibiti ni?	Can we cure this disease apart from at the hospital?
hal di pa shɛli yi ni yɛn nya wahala.	although it may be that you will see suffering.
bɔ n-lee lan kpalim ka pa ni n nam ŋɔ ka o yɛn deei?	what else remains apart from his taking over my kingship?
wutaŋ’ kpe Jona hal ka o ti yɛn pabigi.	Jonah was affected by the sun and nearly fainting.
Cham’ ti kpuɣi pagɔrili n-dɔɣi pagɔrili bihi.	Go and marry a promiscuous woman and beget children of promiscuity.
Di bi simdi ka Izraɛl bipuɣinsi ni so ti niŋ jɛmbu duu pagɔrili bee ka bidibisi ni so ti niŋ jɛmbu duu dagɔrili.	No Israelite man or woman is to become a shrine prostitute.
a bi’ so ŋun zaŋ a buni chaŋ ti nahi pagɔra ŋɔ kuna.	your son who wasted your wealth on prostitutes has come home.
Pagɔr’ jɛrigu nya ŋmariga ka bahi (tam) murijiŋa ni goli yi ti lu o ni bɔri di shee.	The foolish prostitute sees the moonlight and throws away (forgets) the reed used for lighting a lamp and says that when the moon disappears she will look for the reed.
O ni daa yi zahira tumdi o pagɔrisigu tuma, ka yihiri maŋ’ fini shɛm maa.	When she carried on her prostitution openly and exposed her nakedness.
Ninive yɛla ŋɔ zaa ŋmanila pagɔri' tuma.	all Nineveh's matters re like harlotry.
Tama ŋun nyɛ a bia pakol’ la gɔr’ la pagɔrigu.	Tamar who is your son's widow has prostituted herself.
ŋunkam yihi o paɣa ka di pala pagɔrisigu gɔbu zuɣu.	whoever divorces his wife and it is not because of her sexual immorality.
Paɣa yi dɔɣi biya, bɛ kpalindi la kpaliŋga. Kpaliŋgi ŋɔ puuni ka bɛ baŋdi ni bii maa nyɛla paɣa bee doo.	When a woman gives birth, they cry it in public. The cry makes it clear if the child is a girl or a boy.
paɣa yi bɔbi bɔbiga n zaŋ gbiligi o tapaɣa di wuhirimi ni o nyɛla ninchini lana.	if a woman wears a headscarf that covers her cheeks, it shows that she is disrespectful.
O ma daa nyɛla Bɛrishiiba paɣa.	His mother was a woman from Beersheba.
A yi ti nya ka paɣa ŋun ka kpaligu nyɛlindi guŋa nyin’ baŋmi ni kantɔŋ ka o bɔra.	If you see a woman who lacks dawadawa 'maggi' and she is going around a kapok tree, you should know that she is looking for kapok 'maggi'.
Yaa Naa mali paɣaba hali n-ti miri kɔbiga. Bɛ galisim ŋɔ zuɣu daa min chɛ ka.	The Yana had nearly a hundred wives, and because they were so many.
O daa kpuɣila paɣiba pisaayika, ka daa mali mamanim’ pihiyɔbu.	He married eighteen wives and had sixty concubines.
Paɣa yi dɔɣi biya, bɛ kpalindi la kpaliŋga. Kpaliŋgi ŋɔ puuni ka bɛ baŋdi ni bii maa nyɛla paɣa bee doo.	When a woman gives birth, they cry it in public. The cry makes it clear if the child is a girl or a boy.
paɣidɔɣisotɔɣinda ŋɔ yɛn yuli la bia maa tooni ka kpalim kpaliŋga. O yi nyɛ la doo buta, ka o mi yi nyɛ la paɣa bunahi.	the midwife will check the baby's genitals and ululate. If it is a boy, three times, if a girl, four.
O daa nam ba la doo mini paɣa.	He created them male and female.
Amaa o daa bi baŋ o ni paɣitali hal ka o ti dɔɣ’ o paɣisar’ dɔɣim.	But he didn't know her sexually until she had her first child.
paɣitali biɛhigu ni ka m be.	I'm having a period.
Niŋmi siɣa ʒim yi ti yira Kaman a paɣitali nyabu polo bee a nyee yi ti kabira.	Be careful if there is any flow of blood. For instance, in menstruation or you have a nose-bleed.
paɣitali dɔro ni daa mali paɣ’ so.	a woman who had a gynaecological disease.
Dako’ viɛliga kpe daa ni ka paɣanim’ jɛri suya.	A handsome bachelor enters the market and husbands become angry.
Yulimiya paɣiviɛligakushihikom ni zoori shɛm.	Consider how the lilies grow.
kaman nir’ ni yi paɣi laa n-nyahi neei di puuni.	as a person will wash a bowl and wipe its inside clean.
Chɛliya ka bɛ niŋ kom biɛla tin ya na ka yi paɣi yi naba.	Let them bring a little water so you can wash your feet.
Paɣimi a nuhi mini binshɛɣukam a ni mali niŋdi a nina ni viɛnyɛla ni chibo.	Use soap to wash your hands and everything that you touch your eyes with very well.
di to pam ni a tooi paɣi lala kɔlibanim maa puuni ka di yi viɛnyɛla.	it is very difficult for you to wash the inside of those bottles so that it comes out really clean.
kaman ninvuɣ’ so ŋun paɣiri neeri anzinfa la.	like someone who refines silver.
n paɣimi neei ya zaa. Pa bɛ ni paɣiri anzinfa shɛm la.	I purify you all. Not as they purify silver.
Dunia salinim’ zaa, yilimiya suhupiɛlli yila paɣi Yawɛ!	All people of the world, sing songs of joy to the Lord!
Nyuli dibu chuɣu puhibu nyɛla binshɛli din yuui Dagbɔŋ. Bɛ puhirili mi paɣri Naawuni o ni sɔŋ ba ka nyuya maa niŋ viɛnyɛla zuɣu.	The celebration of the yam eating festivalis of long standing in Dagbong. They celebrate it to praise God for helping them so that the yams do well.
N ni yili yila paɣ’ a wuna sani.	I will sing praise to you before the gods.
Ŋun ka zuɣu tum’ kpira ku nya paɣibu.	The unlucky person works hard till he nearly dies, but will not receive praise.
Bandɔɣu ni o yi yi saazuɣu n-chaɣisi lu tiŋ’ na, so yi bi paɣi o, ŋun’ ni paɣi omaŋa.	The lizard says that if it jumps down from above and falls to the ground, it will praise itself if no one else does so.
M paɣiya ni yi baŋ man’ Naawuni.	I am pleased that you know me, God. 
yi lee yuya ni Gidiɔn bidibisi pisopɔin la zaa n-sun ya bee yi paɣiya ni o bidib’ yino n-sun ya?	do you want Gideon's seventy sons to rule over you, or would you prefer one of his sons to rule you?
m paɣiya ni n nyɛ Naawuni jɛmbu duu dunogula n-gari m be ninvuɣ’ biɛri yinsi.	I would rather be a doorman in God's Temple than live in bad people's houses.
bɛ ni ti paɣi kum gari biɛhigu.	they would rather die than live.
bɛ daa paɣila Ijipti labbu bɛ suhuri ni .	they wished that they could go back to Egypt.
di simdi ka o yo paɣ’ maa paɣibɔr’ liɣiri zaa.	he should pay the whole bride-price.
Naa bi bɔri paɣibɔr’ liɣiri a sani.	The King doesn't want any bride-price from you.
paɣa maa ni yi o paɣidɔɣisɔtali daɣiri maa ni.	the woman will be purified from her post-partum impurity.
Mariama paɣidɔɣisɔtali daɣiri ni yibu dali daa ti paai.	the day for Mary's purification arrived.
Paɣ'yi walsira paɣdɔɣisotɔɣinda ka bɛ yɛn zaŋ na ka o ti dɔɣisi o.	When a woman is in labour, they will bring a midwife to help her deliver.
paɣidɔɣisotɔɣinda daa zaŋ gali ʒee lo o nuu maa.	the midwife tied a red cord on his arm.
paɣidɔɣisotɔɣinda ŋɔ yɛn yuli la bia maa tooni ka kpalim kpaliŋga. O yi nyɛ la doo buta, ka o mi yi nyɛ la paɣa bunahi.	the midwife will check the baby's genitals and ululate. If it is a boy, three times, if a girl, four.
Paɣkpamba mi n-ni tooi tum lala tuuni ŋɔ, dama di nyɛ la ʒinahigu tuma.	Old ladies can do this work, because it is sedentary.
o daa siɣi bɔɣili ni ti ku gbuɣinli paɣili ni daa kpe dahin shɛli la.	he went down into a pit and killed a lion on a day when it was foggy.
paɣili din yi kpe, ka di bi yuui ka di lan yi la.	a mist which rises and in a short time it goes away again.
Ka paɣili mini zibisim dii kana ti to o, ka o go m-bɔhindi gindi bɔri so ni o vo o.	Immediately mist and darkness came over him, and he groped about, seeking someone to lead him by the hand.
Nyaanzum ku pani paɣili.	Gossip will not make a scar.
Sara daa lee nyɛ paɣiŋoo; o daa ka bia.	Sara was barren; she had no child.
O tiri paɣiŋoo bihi, ka zaŋd’ o leeri bihi ma.	He gives the childless woman children, and takes her to become the mother of children.
o zɔnim’ bɛn nyɛ paɣipiɛlisi dol’ o.	her virgin companions accompany her.
o zɔnim’ bɛn nyɛ paɣipiɛlisi dol’ o.	her friends who are virgins accompany her.
M mi na ʒi n-wumsi nachimpola bee paɣipiɛlisi.	I have neither reared sons nor brought up daughters.
m mini n tab’ du zoya zuɣu n-fabili n ni yɛn kpi ni m paɣipiɛlital’ ŋɔ zuɣu.	so that I can go with my friends to wander in the mountains and grieve that I must die a virgin.
Ijipti naa ni ti zaŋ o bipuɣiŋga n-ti o paɣipini.	the King of Egypt will 'give him his daughter in marriage.
PAƔIPULI MINI DI YULIBU.	Pregnancy And Its Care.
paɣ’ puulana.	a pregnant womam.
Paɣapuulana maa ni tooi dɔɣi bikpiŋ bee n-dɔɣ’o nyɛ tikpura lana bee birigu.	A pregnant woman can miscarry or give birth to a deaf or dumb baby.
Dɔbba yi zabira nti zaŋ ŋme paɣ’ puulana, ka paɣ’ puulan’ maa zaŋ bahi.	If men are fighting and they happen to hit a pregnant woman and she miscarries.
Bɛ ti ku lan dɔɣi bihi, paɣipuulan’ ti ku lan beni, bɛ paɣiba ti ku lan zali puhi.	They will have no more children, there will be no pregnant woman, their women won't get pregnant.
Di tuya ni a waligi a nyin paɣiriga mini a leeza kpali di kɔ.	You must keep your face-cloth and razor separate by themselves.
Bia maa pulimi ka paɣapuulana maa kɔŋ dɔɣibu.	The child lay across and the pregnant woman could not deliver.
Di tuya ni a waligi a nyin paɣiriga mini a leeza kpali di kɔ.	You must keep your face-cloth and razor separate by themselves.
Doo yi kpuɣi paɣisaribila n-zaŋ o niŋ o paɣa.	If a man marries a young woman.
Nachimba mini paɣisara ni ninkura ni bihi zaa, paɣimiy’ o!	Young men and young women, old men and children, all praise him!
konyuri ni ti wum gbarigi nachimbihi kpɛma mini paɣisaribihi kpɛma.	thirst will exhaust strong youths and young women.
Napaɣiba gba daa yi kpe daa ni nti nya paɣisaribil’ viɛlli, bɛ gbaar’ o mi kuli n-ti ti Naa, k’ o gba leei Napaɣa.	The Chief's wives also go to the market and see a pretty girl, and take her home and give her to the Chief and she also becomes a Chief's wife.
o daa dɔɣ’ o paɣisar’ dɔɣim bidibiga n-zaŋ chinchini pil’ o sɔŋ wɔrimɔri piɛɣu ni.	she gave birth to her firstborn son and wrapped him in swaddling clothes, and laid him in a manger.
Chɛ ka ti boli paɣisarili maa na nti bɔh’ o nya.	Let's call the young woman here and find out.
O daa dɔɣ’ o paɣisar’ dɔɣim bidibiga.	she gave birth to her first boy.
Zaŋmi bidibsi ni bipuɣinsi yuma kalinli m-maɣisi nachimba ni paɣisara dini ka wuhi din zooi nyaŋ di kpee.	Take the sum of the ages of the boys and girls and compare with that of the young men and women to see which is greater.
A ŋmanila paɣ’ so ŋun kuli dooyili o paɣisarilim ni ka bɛ ti zaɣis’ o.	You are like a woman who married a man as her first husband and has been divorced.
N daa zaŋ yɛ’ viɛla dih’ a paɣisarilim, ka zaŋ bansi piri a nuhi ni.	I got fine clothes and arrayed you fashionably, and put bangles on your arms.
o yɛliya ni Naawuni n-nyɛ o Ba, ka di wuhi ni o zaŋ omaŋ’ paɣisi Naawuni.	he had spoken of God as his Father, thereby making himself equal with God.
Ijiptinim’ daa kana ti paɣisi ba niŋ lala ka kom di ba.	the Egyptians came to do the same and they were drowned.
ŋunkam mi kpuɣ’ paɣiyihiŋ maa gba niŋ zina.	whoever marries a divorced woman also commits adultery.
o yɛli ba ni bɛ zaŋm’ li tari ba pahi.	he told them to take it and share it out to them again.
Bindiri shɛŋa din pahiri yaa: banchi, nyuya, bɔrade, shinkaafa, za, kawana, wulijo ni boroboro.	Foods which increase strength: cassava, yams, plantain, rice, millet, maize, sweet potato and bread.
Pahigu ka pa ni ŋmɛri, so n-ʒi n-zaɣisi.	No one ever refuses an additional thing unless it is a beating.
Din n-nyɛ: dala, dawulo, lunsi, nti pahi yuhi.	These are: long drums, gong-gong, hourglass drums and also flutes.
Pahimiya n zuɣu ka ti tibigi ti Duuma.	Join me, and we will exalt the Lord.
M bi yɛn pahi so zuɣu bee n-niŋ so naŋgban’ malisim.	I'm not going to flatter anyone or sweet-talk them.
Yuma maa yi galisi, nyin’ pahimi liɣiri, ka yuma maa yi bi galisi, nyin’ filimmi liɣiri maa.	When the years are many, you are to increase the price, and when the years are few, you are to decrease the price.
bɛ jɛlinsi zaŋ chaŋ o sani maan pahi.	their hatred towards him increased yet more.
Kunduŋ piri kurugu namda ka yaa maan pahi.	Hyaena put on iron shoes to get more strength.
o bo tuntumdiba m-pahi ka bɛ kpuɣi puu atam maa na.	he looks for additional workers to bring in the harvest.
O nyaandoliba maa daa mali zim’ bihi biɛla pahi.	His followers had a few small fish as well.
doo ŋun kpuɣi paɣ’ kootu puuni yi lan doli so’ shɛli n-kpuɣi paɣ’ m-pahi.	if a man who has taken a legal wife sets out to marry another wife.
M pun kahig’ a yuli wuhi ba, ka ni lan kahigi li wuhi ba pahi.	I have already revealed your name to them, and will reveal it yet further.
malaika maa daa ti lan labina pahi napɔŋ buyi nti shih’ o.	the angel came back a second time and touched him.
Bɔ ka n niŋ ya ka di be di ko ni cheechi shɛŋa din kpalim la n-naɣ’ pahila n ni bi zaŋ n yɛla doli ya la?	How did I treat you differently from the other churches except that I didn't impose my problems on you?
Din pahi n-nyɛ:	Another thing is:
din pahi piniyini nyɛ jɛsint.	the eleventh was jacinth.
niŋ lala hal ti paai siɣimsiɣim buyopɔin.” Napɔŋ din pahir’ ayopɔin maa ni.	do it up to seven times." And on the seventh time.
O pahirla o nyutam.	He’s clearing the bush for his yam field.
A daa pahi gili di zaashee ka di nyaɣa ba tiŋa.	You cleared a place for it and its roots took firm hold.
Pakoli bi saɣiri kuni doo ŋun nyɛ o yidan’kuro maa tɔɣima.	A widow wouldn't agree to marry a man with the same name as her former husband.
Pakoya gba bi saɣri kuni dobba ban nyɛ bɛ yidanim’ tɔɣimanima.	Widows too do not marry men who are weak husbands.
o kpi ka chɛ o, o tizo ŋun’ kpuɣim’ o pakoli maa if.	he and leaves her his junior brother should marry his widow.
Yawɛ guli saamba, ka gbibi pakoya mini kpibisi.	Yaweh watches over the alien and sustains the fatherless and the widow.
Bɛ kuri pakoya mini saamba, ka kuri kpibisi.	They kill widows and aliens, and kill orphans.
Kulim’ a ba yiŋ’ ti ʒini pakolim hal ka m bia Shɛla ti zooi.	Go home to your father's house and stay in your widowed state until my son Shelah grows up.
o daa ʒini pakolim ni mi hal ka o yuma ti paai pihiniinaanahi.	she had remained as a widow until she was eighty four.
Bɛ yɛri pakurugu sɔɣu yɛla ka o yɛli ni saa kumda.	They are talking to an old woman about her witchcraft and she is saying that the thunder is making noise.
Pakurigu duɣubila, viɛhim ka mira.	The old woman’s little pot, be careful when you scrape it out!
Shɛba mi tɛhiri mi ni pakura tuma m-bala bee niri yi di salinsahi.	And some people think it is old women's work or the person has eaten ants.
Nayiɣa niŋdila nambɔɣu ni o zu a, ka pakurugu gba niŋdi nambɔɣu ni o ku a.	A thief is first kind to you and then steals from you and a witch is also first kind to you and then kills you.
“Dɔɣimiya ka wɔɣi n-nab’ pali teeku mini dunia.”	"Be fruitful and multiply and fill the earth."
Duuma baŋsim ni ti pali dunia ŋɔ ni kaman kom ni pali teeku shɛm la.	The knowledge of the Lord will fill the world like the water fills the sea.
Niŋmiya kom pali koyuya anahi.	Fill four water-pots with water.
o daa wuhi ma la tiwal’ moma ni pali piɛ’ shɛli.	he showed me ripe fruit filling a basket.
ŋman’ yini yi ti pali, ka yi vuui li zali kpaŋa.	when one calabash is full, move it to one side.
hali di nu-kurigu pali gba.	even a handful of it.
hal ka n yil’ ŋɔ ti pali niriba.	until this my house is full of people.
a tɔriko lɔɣu pali bindira hal ti puuri bahira.	your carts overflow with food.
m pipia pali hal ti puuri bahira.	my cup is full and is overflowing.
O yi lo alikauli, o paani li mi.	If he makes a promise he keeps it.
shɛhira shɛli kani din wuhiri ni paɣisarili maa daa nyɛla ŋun pali.	no proof of the girl's virginity can be found.
Ti Duuma daa lo ni o chɛ ka o ni daa chɛ ka Jeremiah yɛli shɛm la niŋ pali.	the Lord decided to make what he had had Jeremiah say come true.
salo pam dii laɣim na hal ka palichee ti lan ka yili maa ni.	a big crowd gathered to the extent that there was not the smallest bit of room in the house.
Kpahimmiya paldaa la viɛnyɛliŋga.	Take note of the highway.
Juda fɔntinsi mini Jɛrusalɛm pal’ dahi din leei dabari.	Judah's towns and the streets of Jerusalem which have become ruins.
vuhim dabisa dali ni gol’ paliga churi dabisa dali.	rest days and new-moon festival days.
Bɛ da a ye la binyɛra dim paligi paratɛte.	They wore clothes which were startlingly white.
Di daa paligi o suhu pam ka o mini o niriba puhiri chuɣu n teeri lala dabsili maa yɛla yuuni kam.	This pleased him very much and he and his people celebrate an annual festival as a memorial of that day.
Naa Gbewaa niŋsim ŋɔ daa bi paligi Yɛntɔri suhu.	this that Chief Gbewaa had done did not please Yentori.
di chɛ ka yi suhuri ti paligi.	it makes you be happy.
Naa suhi ti paligi dahinshɛli.	when the Chief was feeling pleased one day.
n dimnim’ suhuri ni paligi n lubu zuɣu.	my enemies will be happy because of my fall.
n daa pii niriba maa zuliyazuliya n-zali gooni maa nyaaŋa palɔni naɣilima ni mini paliyari ni.	I stationed some of the people behind the lowest points of the wall at the exposed places, posting them by families.
n kul yɛn dolila palli gari.	I will just pass through along the main road.
A mali pal’ yɛlinli ti n naba.	You have made a broad road for my feet.
jɛmbu du’ palli ŋɔ jilima ni gari jɛmbu du’ kurili la jilima.	the glory of this new Temple will be more than the glory of the old Temple.
AIDS nyɛla dor’ palli ka be ka niriba na bi baŋ li.	AIDS is a disease newly in existence and people don't yet know about it.
Wula ka bipala lee yɛn niŋ? How can young people manage?
palo maa pɔri ni bɛ zaa tooi laɣim be.	the space is small for all of them to be in together.
Palo palo ku nam yoli, bilibili ni nam palo.	If you don’t fight for a space you will not find any, fighting for a space will create a space.
n daa pii niriba maa zuliyazuliya n-zali gooni maa nyaaŋa palɔni naɣilima ni mini paliyari ni.	I stationed some of the people behind the lowest points of the wall at the exposed places, posting them by families.
Gumachuɣu pɔrisilila din be palo ni ka din be zimsim ni.	The chameleon changes its colour to what is seen in the open, but not to what is in the dark.
n tɔɣisir’ o yɛtɔɣa ka di do palɔni, ka pa ni ŋaha puuni.	I speak to him clearly, not in riddles.
Kpiimba biɛhigu shee mini chiyaama buɣim kul dola palɔni Yawɛ.	The place where the dead are and the fire of judgement just lie open to the Lord.
Bimbiɛɣu ku yi palo ka lan sɔɣi.	The evil deed that comes out into the open cannot be hidden again.
hal bɛ ni daa kul deei tiŋgbani paliti n-leei bɛ din’ la zaa yoli.	though they took the plots of land for their own.
hal bɛ ni daa kul deei tiŋgbani paliti n-leei bɛ din’ la zaa yoli.	despite the fact that they had taken the plots of land for thier own.
na’ palo daa ti di Ijipti.	a new king came to power in Egypt.
A yi nya a sim' kuro ka ŋuni a ni ŋuni a sim' palo gba.	If you see your old friend and hide, you will also hide from your new friend.
Yuŋ yi ti paai, pakoli ŋɔ sɔri la Dagbani chinchimaŋli n-kpe dooni ka o mini o yidaam' palo maa ti baŋ taba.	When the night comes the widow girds herself with a Dagomba homespun cloth and goes in to lie down, and she and her new husband know each other.
Di chɛliya ka yimaŋ’ malibu bela paloni kaman zabiri pambu.	Don't let your adornment be external, like hair-braiding.
A bia yi bi viɛla a bi bɔri diɛmbuni pam.	If your daughter is not beautiful you do not demand an expensive dowry.
Jɔnatan daa yuri David yɛla pam.	Jonathan loved David very much.
Hal a wɔhu yi tooi zɔri pam, a bi mal’ o kariti noonsi.	Even if your horse can run very fast, you don’t chase birds with it.
di to pam ni a tooi paɣi lala kɔlibanim maa puuni ka di yi viɛnyɛla.	it is very difficult for you to wash the inside of those bottles so that it comes out really clean.
Dɔri balibu-balibu pam gba tooi gbahiri niriba shinshɛri ko’ daɣiri maa zuɣu.	Many kinds of disease can also infect people from dirty urinal water.
Dɔri balibu-balibu pam gba tooi gbahiri niriba shinshɛri ko’ daɣiri maa zuɣu.	Many kinds of disease can also infect people from dirty bathroom water.
bɛ daa duhila bɛ yee tahiri pampam, ka tiŋ’ maa goondaa maa dii kabi ti lu tiŋa.	they raised their voice and shouted loudly and the wall of the town broke and fell down.
Yi biriti pampam, amaa ka ti chɛrila biɛlabiɛla.	You sow a lot, but only get to harvest a little.
Shɛb’ daa pihi pampam, ka shɛb’ mi pihi biɛlabiɛla.	Some collected a great amount and some collected only very little.
dinŋuna di simdi ni a nyuri kom pampam.	then you ought to drink plenty of water.
O zuɣu yi yaara pampam.	If she has a severe headache.
O zuɣu yi yaara pampam.	If her head aches severly.
A lee bɔri pani ka zɔri pan’ kɔbiri.	You like the vagina and yet you fear the vagina's hair.
Man’ ku ti a paɣa ka lan wuhiri a pani nyɛbili.	I will not give you a wife and also teach you how to have sex with her.
Jɛrikɔnim’ daa me m-pani o zuɣu.	The people of Jericho built on top of him.
Di ni tooi niŋ ka bɛn tu ni bɛ beni ka di sabi maa zaa bi pani taba.	It could happen that all the people who ought to be there when it is registered are not together.
A zo yi nyɛ jaŋa a doli ku pani tia zuɣu.	If your friend is a monkey, your throwing-stick will not stay up in a tree.
Nyaanzum ku pani paɣili.	Speaking behind someone’s back cannot make a scar on his or her back.
Nyaanzum ku pani paɣili.	Gossiping cannot make a scar on his or her back.
Nyaanzum ku pani paɣili.	Backbiting cannot make a scar on his or her back.
sagbani pun sirigi na ti pani di zuɣu.	a cloud had already come down to be over it.
A guri a tɔbu, ka zali zaligu, ka piɛma pani di zuɣu.	You uncovered your bow, you called for many arrows.
yi ni ti dihi zuliyanim’ pam samli, amaa yinim’ ti ku paŋ shɛli.	you will lend to people of many nations, but you yourselves will borrow from none.
bɛ zaŋdi bɛ liɣiri paŋdi niriba.	they take their money and lend to people.
Doo yi yɛn zaŋ binshɛli paŋ o kpee, ŋun di deegi o nɛli bee o nɛkaŋ’ sɔŋ pɔi ka naanyi paŋ o li, dama o yi niŋ lala, nyɛvili ka o deei sɔŋ talima pabu ni maa.	If a man is going to lend his neighbour something, he should not take his upper or lower grindstone and deposit it before he makes the loan, because if he does this it is a life that he receives and deposits as a pledge-giving.
Alahachi kahigi wuhi mini taali chɛ m-paŋ.	Confession of sin and forgiveness.
Niriba ban niŋ tuuba yɛlimaŋli nyari bɛ dahilahichi taali che-m-paŋ.	People who truly repent receive forgiveness of their sins.
Taali chɛ m-paŋ yɛla ŋahili.	A Parable about Forgiveness of Offence.
so yi paŋ biŋkɔbigu o kpee sani.	if someone borrows an animal from his neighbour.
so yi paŋ biŋkɔbigu o kpee sani.	if someone borrows an animal from his colleague.
bɛn bɔri ni bɛ paŋ yi binyɛra, yin’ paŋmiya ba.	those who want to borrow your things, you lend them.
Ka bɛ tahi bia maa zuɣu parapara.	And they shouted at the child one after another.
Ka bɛ tahi bia maa zuɣu parapara.	And they shouted at the child successively.
Bɛ da a ye la binyɛra dim paligi paratɛte.	They wore clothes which were startlingly white.
shee maa zaŋ du zuɣusaa polo mi daa kul piɛli paratɛtɛ.	from the waist upwards it was just blindingly white.
Nɔhi yi parita ka a bi shihi ba, ni kurigi a yaannim’ kɔba.	If fowls are scratching the ground and you don’t stop them, they will dig up your ancestors’ bones.
Zaŋmi salima alali mali bimparilani.	Use pure gold to make a medallion.
o daa zaŋ alikauli kuɣ’ parilana ayi ti o.	he gave him the two 'tablets' of the promise.
bɔrɔbɔro parilaambihi piɛri tab’ maani sara tiri o.	small flat loaves of bread which are lined up as an offering to Him.
Bia maa parim labi na.	The child returned immediately.
Kɔhi parim n-nyari liɣiri.	Frequent selling earns money.
Ŋmɛ-m-parim n kuri wahu.	Repeated striking kills the snake.
n ni kuhi pam kaman paɣ’ ŋun wolisiri ni o dɔɣi. N ni vuhi parim.	I will cry aloud like a woman in labour. I will panth.
